id,timestamp,operatingSystem,numberOfInstances,instanceName,vcpu,cpuUsage,memory,memoryUsage,networkPerformance,storageType,numberOfVolume,storageSize,numberOfALB,costPerMonth
1,2023-04-19 04:56:43,Linux,9,m5.2xlarge,8,47.610312,32,25.660239,Up to 10 Gigabit,EBS only,5,756,5,2782.98
2,2023-09-30 10:05:21,Linux,4,t3.xlarge,4,49.617503,16,81.116318,Up to 5 Gigabit,EBS only,1,991,2,600.46
3,2023-04-23 05:49:44,Linux,5,r5.4xlarge,8,85.658076,64,66.582864,Up to 10 Gigabit,EBS only,7,433,1,3448.91
4,2023-01-18 06:12:29,Linux,1,t3.xlarge,4,26.502603,16,70.802391,Up to 5 Gigabit,EBS only,7,405,2,822.8
5,2023-11-02 21:54:32,Linux,3,t3.medium,2,27.141515,4,40.225053,Up to 5 Gigabit,EBS only,2,708,1,432.33
6,2023-12-11 14:37:39,Linux,7,r5.4xlarge,8,98.604436,64,57.736793,Up to 10 Gigabit,EBS only,6,399,4,4347.63
7,2023-07-07 10:13:41,Linux,2,c5.2xlarge,4,87.159862,16,79.407521,Up to 10 Gigabit,EBS only,5,867,5,1474.58
8,2023-11-16 03:24:39,Linux,7,t3.xlarge,4,51.210799,16,67.750012,Up to 5 Gigabit,EBS only,7,873,4,2188.76
9,2023-01-24 07:02:48,Linux,5,t3.medium,2,35.507228,4,72.735087,Up to 5 Gigabit,EBS only,4,624,2,755.91
10,2023-02-12 18:37:53,Linux,1,c5.2xlarge,4,80.254229,16,79.007766,Up to 10 Gigabit,EBS only,8,338,2,876.78
11,2023-05-28 08:05:59,Linux,6,c5.12xlarge,16,80.495635,128,85.095689,12 Gigabit,EBS only,2,861,2,6711.12
12,2023-01-14 23:02:52,Linux,4,c5.2xlarge,4,31.266889,16,20.359062,Up to 10 Gigabit,EBS only,10,428,4,1807.76
13,2023-07-04 23:59:34,Linux,6,t3.medium,2,77.752978,4,91.315134,Up to 5 Gigabit,EBS only,10,894,5,2452.74
14,2023-07-31 10:55:06,Linux,5,c5.12xlarge,16,41.045992,128,25.854608,12 Gigabit,EBS only,5,542,4,5924.1
15,2023-03-05 13:45:43,Linux,4,c5.2xlarge,4,24.021828,16,6.721544,Up to 10 Gigabit,EBS only,8,427,5,1583.12
16,2023-08-09 06:24:54,Linux,1,t3.medium,2,58.297603,4,86.960617,Up to 5 Gigabit,EBS only,10,506,2,1336.99
17,2023-12-30 20:19:40,Linux,9,t3.xlarge,4,66.085769,16,39.652992,Up to 5 Gigabit,EBS only,1,752,3,966.82
18,2023-06-27 00:37:14,Linux,7,m5.2xlarge,8,14.978014,32,59.197601,Up to 10 Gigabit,EBS only,9,778,4,3220.66
19,2023-06-30 01:34:05,Linux,4,t3.xlarge,4,20.737156,16,48.738611,Up to 5 Gigabit,EBS only,3,778,3,949.64
20,2023-11-18 15:50:41,Linux,10,m5.2xlarge,8,39.549756,32,50.756032,Up to 10 Gigabit,EBS only,4,979,2,3018.36
21,2023-01-16 04:58:45,Linux,6,c5.2xlarge,4,85.314749,16,67.491766,Up to 10 Gigabit,EBS only,10,583,2,2558.24
22,2023-11-26 08:53:03,Linux,3,r5.2xlarge,4,54.50686,32,95.690823,Up to 10 Gigabit,EBS only,5,639,2,1627.86
23,2023-11-03 19:25:15,Linux,6,c5.2xlarge,4,93.215383,16,25.220368,Up to 10 Gigabit,EBS only,3,721,1,1604.82
24,2023-09-16 18:31:37,Linux,5,r5.2xlarge,4,84.377794,32,61.107947,Up to 10 Gigabit,EBS only,2,299,1,1484.08
25,2023-06-02 22:44:55,Linux,6,r5.4xlarge,8,51.758313,64,52.548327,Up to 10 Gigabit,EBS only,2,607,2,3508.66
26,2023-05-09 20:04:28,Linux,5,t3.xlarge,4,18.107934,16,87.306677,Up to 5 Gigabit,EBS only,6,711,1,1537.66
27,2023-06-22 07:43:44,Linux,5,m5.2xlarge,8,81.793471,32,59.114386,Up to 10 Gigabit,EBS only,6,648,4,2010.98
28,2023-03-23 18:03:48,Linux,10,t3.xlarge,4,59.173275,16,18.556225,Up to 5 Gigabit,EBS only,2,85,1,901.2
29,2023-05-10 08:33:26,Linux,4,r5.2xlarge,4,6.464419,32,61.790366,Up to 10 Gigabit,EBS only,7,413,3,1814.54
